Player,Tm,Tm_name,Opp,Opp_name,points_rolling_avg,assists_rolling_avg,rebounds_rolling_avg,points_last_game,assists_last_game,rebounds_last_game,Home,Tm,Opp,rest_days,opp_avg_PTS_allowed,opp_avg_TRB_allowed,opp_avg_AST_allowed,matchup_pts,matchup_reb,matchup_ast
Craig Porter Jr.,5,CLE,29,WAS,5.4,0.8,1.2,16.0,1.0,0.0,1,5,29,2.0,1.6,1.4,1.0,3.5384615384615383,1.0,0.9230769230769231
D'Angelo Russell,2,BRK,15,MIA,11.6,4.0,3.2,5.0,2.0,0.0,1,2,15,2.0,10.6,2.0,2.6,22.0,1.0,6.0
D.J. Carton,27,TOR,13,LAL,0.75,0.75,1.0,0.0,0.0,0.0,1,27,13,4.0,15.8,3.4,3.6,0.75,1.0,0.75
DaQuan Jeffries,4,CHO,26,SAS,3.2,1.2,1.6,9.0,2.0,6.0,1,4,26,2.0,17.4,1.6,3.6,5.388888888888889,2.9444444444444446,1.1666666666666667
Daeqwon Plowden,0,ATL,27,TOR,12.0,0.0,2.5,19.0,0.0,4.0,1,0,27,10.0,12.4,1.4,3.2,12.0,2.5,0.0
Daishen Nix,17,MIN,9,GSW,0.3333333333333333,1.0,1.3333333333333333,1.0,1.0,2.0,1,17,9,2.0,9.6,2.4,1.2,0.3333333333333333,1.3333333333333333,1.0
Dalano Banton,24,POR,25,SAC,5.4,1.0,0.8,0.0,0.0,1.0,1,24,25,2.0,13.4,2.4,2.8,17.0,2.0,2.0
Dalen Terry,3,CHI,8,DET,5.4,2.4,1.4,10.0,4.0,1.0,1,3,8,2.0,6.8,1.0,2.8,2.0,1.0,0.0
Dalton Knecht,13,LAL,12,LAC,10.2,0.2,1.8,2.0,0.0,0.0,1,13,12,3.0,9.8,3.4,1.6,10.0,4.0,1.0
Damian Lillard,16,MIL,0,ATL,24.2,8.4,3.6,29.0,12.0,4.0,1,16,0,2.0,15.4,3.4,3.2,25.0,6.0,7.0
Damion Lee,23,PHO,28,UTA,4.6,0.6,1.2,4.0,1.0,2.0,1,23,28,2.0,23.2,4.6,4.0,3.142857142857143,0.9285714285714286,0.5714285714285714
Daniel Gafford,6,DAL,1,BOS,17.4,2.2,10.2,12.0,0.0,6.0,1,6,1,2.0,22.0,7.0,3.8,19.0,15.0,2.0
Daniel Theis,18,NOP,6,DAL,5.2,3.0,4.8,0.0,2.0,2.0,1,18,6,2.0,5.8,2.4,0.8,2.0,5.0,1.0
Daniss Jenkins,8,DET,22,PHI,0.0,0.0,0.0,0.0,0.0,0.0,1,8,22,30.0,20.6,5.8,2.0,0.0,0.0,0.0
Dante Exum,6,DAL,1,BOS,11.5,3.25,1.25,14.0,4.0,1.0,1,6,1,2.0,15.6,9.0,3.4,11.5,1.25,3.25
Dario Šarić,7,DEN,10,HOU,3.4,1.6,3.4,7.0,2.0,7.0,1,7,10,7.0,6.0,3.4,2.6,3.769230769230769,3.6153846153846154,1.6923076923076923
Dariq Miller-Whitehead,2,BRK,15,MIA,4.5,0.25,0.75,18.0,1.0,2.0,1,2,15,21.0,15.6,5.2,5.4,4.5,0.75,0.25
Dariq Whitehead,2,BRK,23,PHO,4.5,0.0,0.5,3.0,0.0,0.0,1,2,23,7.0,9.0,5.0,1.0,4.5,0.5,0.0
Darius Garland,5,CLE,29,WAS,23.0,6.4,2.8,25.0,5.0,3.0,1,5,29,2.0,14.2,3.6,3.6,24.0,5.0,8.0
David Duke,26,SAS,10,HOU,23.2,6.0,2.8,0.0,0.0,0.0,1,26,10,3.0,15.8,3.6,4.2,3.0,0.0,2.0
