points_rolling_avg,assists_rolling_avg,rebounds_rolling_avg,points_last_game,assists_last_game,rebounds_last_game,Home,Tm,Opp,rest_days,opp_avg_PTS_allowed,opp_avg_TRB_allowed,opp_avg_AST_allowed,matchup_pts,matchup_reb,matchup_ast
25.6,5.4,6.8,19.0,8.0,6.0,1,3,24,2.0,8.6,5.2,2.8,23.681818181818183,4.704545454545454,4.386363636363637
24.2,3.0,13.6,22.0,4.0,11.0,1,13,12,4.0,10.8,1.4,5.4,25.738095238095237,11.857142857142858,3.357142857142857
2.0,0.2,0.4,2.0,1.0,0.0,1,26,15,19.0,12.6,3.4,3.2,1.2941176470588236,0.5882352941176471,0.35294117647058826
1.8,0.6,3.4,3.0,0.0,4.0,1,12,13,3.0,8.4,3.4,2.8,3.36734693877551,2.836734693877551,1.3265306122448979
6.4,1.0,1.4,0.0,0.0,0.0,1,21,7,2.0,19.2,3.6,5.0,2.8055555555555554,1.0,0.4166666666666667
12.6,7.4,4.0,6.0,6.0,2.0,1,26,15,2.0,4.4,6.0,0.6,9.346938775510203,4.081632653061225,8.16326530612245
26.8,10.8,13.0,24.0,10.0,12.0,1,7,21,2.0,2.6,3.2,1.0,29.695652173913043,12.695652173913043,10.326086956521738
28.6,4.8,6.4,22.0,4.0,5.0,1,15,26,2.0,15.4,4.2,4.0,23.73469387755102,5.571428571428571,5.551020408163265
9.0,0.6,5.6,3.0,1.0,3.0,1,21,7,2.0,11.6,5.2,2.2,5.8936170212765955,4.829787234042553,0.5106382978723404
12.2,4.0,4.4,9.0,3.0,3.0,1,15,26,2.0,7.0,6.0,1.0,10.263157894736842,4.7894736842105265,3.526315789473684
12.0,4.0,4.6,22.0,4.0,6.0,1,29,25,1.0,9.6,5.6,1.2,15.090909090909092,5.818181818181818,2.4242424242424243
12.8,1.4,4.0,15.0,2.0,6.0,1,2,20,2.0,6.2,4.0,1.0,10.0,4.111111111111111,1.6666666666666667
6.4,1.6,2.2,9.0,1.0,2.0,1,16,22,2.0,8.0,3.8,1.2,16.0,5.0,3.0
1.6,0.2,0.2,0.0,0.0,0.0,1,26,15,2.0,6.2,2.4,1.0,4.533333333333333,1.1,0.8666666666666667
0.0,0.2,0.0,0.0,0.0,0.0,1,13,12,12.0,4.0,3.0,2.8,0.875,0.4375,0.4375
24.6,5.0,5.8,19.0,7.0,3.0,1,25,29,3.0,14.0,4.6,3.8,24.893617021276597,4.9361702127659575,6.276595744680851
6.8,2.4,7.0,12.0,3.0,10.0,1,20,2,2.0,12.4,4.8,4.0,5.869565217391305,5.6521739130434785,2.4347826086956523
13.8,2.4,2.4,13.0,1.0,1.0,1,2,20,2.0,7.2,2.8,2.4,10.04,3.5,1.9
11.2,0.4,6.8,15.0,0.0,6.0,1,16,22,2.0,9.4,4.6,2.4,16.0,3.0,3.0
5.6,1.4,1.4,5.0,1.0,1.0,1,25,29,3.0,20.0,5.4,2.8,7.8604651162790695,2.7906976744186047,1.7209302325581395
9.4,2.4,7.4,7.0,2.0,8.0,1,2,20,2.0,15.4,7.4,1.8,9.911111111111111,7.488888888888889,1.9555555555555555
1.2,0.4,1.2,5.0,0.0,3.0,1,12,13,46.0,14.8,5.6,6.2,1.2,1.2,0.4
9.6,1.8,3.2,4.0,1.0,3.0,1,22,16,1.0,2.8,2.4,0.0,8.090909090909092,3.090909090909091,1.4090909090909092
1.6,0.0,0.4,0.0,0.0,0.0,1,7,21,2.0,7.8,3.6,3.2,1.8709677419354838,1.032258064516129,0.12903225806451613
17.6,3.0,11.2,19.0,3.0,12.0,1,26,15,2.0,11.0,1.4,3.8,24.41860465116279,10.906976744186046,3.627906976744186
3.0,0.2,2.6,10.0,0.0,5.0,1,24,3,1.0,8.2,4.8,2.0,3.2162162162162162,2.810810810810811,0.4594594594594595
3.4,0.8,3.2,6.0,1.0,9.0,1,13,12,2.0,12.0,2.8,2.0,5.535714285714286,4.035714285714286,0.9642857142857143
5.0,2.8,2.0,6.0,2.0,3.0,1,20,2,2.0,6.2,3.6,0.4,5.548387096774194,2.774193548387097,2.4193548387096775
9.2,4.4,2.4,8.0,3.0,3.0,1,12,13,3.0,9.8,2.6,2.2,8.222222222222221,3.388888888888889,3.5
22.2,3.8,4.2,38.0,5.0,5.0,1,29,25,1.0,10.8,4.0,2.6,20.84090909090909,3.090909090909091,4.863636363636363
6.0,0.6,1.0,0.0,0.0,0.0,1,3,24,4.0,10.6,5.2,2.8,5.85,1.7,1.325
3.4,2.8,2.2,2.0,2.0,2.0,1,26,15,2.0,8.6,4.4,4.0,4.392857142857143,2.0714285714285716,3.7142857142857144
13.8,2.6,12.2,10.0,3.0,8.0,1,12,13,3.0,5.4,5.6,2.0,15.16326530612245,12.653061224489797,2.489795918367347
6.2,2.0,1.2,10.0,3.0,1.0,1,13,12,2.0,11.0,3.8,4.8,5.380952380952381,1.2619047619047619,1.2619047619047619
20.0,7.2,2.6,38.0,3.0,3.0,1,13,12,2.0,11.8,3.2,2.8,18.545454545454547,4.2727272727272725,6.090909090909091
18.0,5.8,3.2,18.0,8.0,5.0,1,3,24,2.0,7.4,6.0,3.6,18.533333333333335,3.2888888888888888,4.644444444444445
9.2,1.4,3.2,18.0,2.0,9.0,1,22,16,1.0,5.6,1.2,2.0,7.904761904761905,2.761904761904762,1.5714285714285714
18.0,3.0,5.0,13.0,1.0,8.0,1,24,3,1.0,15.2,2.0,4.4,17.386363636363637,3.8181818181818183,2.3863636363636362
4.4,0.6,1.4,2.0,1.0,1.0,1,13,12,2.0,7.8,2.6,1.6,9.416666666666666,3.0625,0.875
12.4,4.6,2.6,13.0,5.0,3.0,1,16,22,2.0,4.4,3.6,2.0,12.608695652173912,3.6956521739130435,4.434782608695652
1.2,0.8,0.4,3.0,1.0,1.0,1,25,29,5.0,7.0,2.6,1.0,1.8928571428571428,0.75,0.8571428571428571
6.6,2.0,2.2,5.0,1.0,0.0,1,3,24,2.0,15.6,6.0,3.2,9.404761904761905,4.166666666666667,2.1666666666666665
3.909090909090909,0.8181818181818182,1.6363636363636365,2.0,0.0,1.0,1,29,25,18.0,7.2,2.0,0.6,3.909090909090909,1.6363636363636365,0.8181818181818182
0.6,0.0,0.4,0.0,0.0,0.0,1,20,2,2.0,8.2,1.6,2.2,1.263157894736842,0.42105263157894735,0.0
33.8,5.4,4.2,40.0,8.0,3.0,1,20,2,3.0,9.6,2.6,1.6,32.44,5.22,5.9
4.2,0.2,3.4,12.0,1.0,6.0,1,22,16,1.0,4.4,1.2,1.2,2.0,1.0,0.0
1.0,0.0,1.0,0.0,0.0,0.0,1,25,29,20.0,7.6,4.0,1.2,1.0,1.0,0.0
8.8,6.8,10.4,6.0,5.0,5.0,1,3,24,2.0,6.0,1.2,3.6,12.104166666666666,7.25,6.5625
9.0,1.6,1.8,7.0,2.0,3.0,1,24,3,1.0,5.0,1.8,0.8,8.425,1.95,2.075
0.6,0.2,0.4,0.0,0.0,1.0,1,20,2,3.0,7.4,3.8,1.0,1.5384615384615385,1.0,0.07692307692307693
5.0,0.2,1.8,3.0,1.0,2.0,1,20,2,2.0,7.0,2.2,1.4,2.823529411764706,1.588235294117647,0.35294117647058826
9.2,2.6,3.4,3.0,1.0,0.0,1,2,20,2.0,9.2,4.2,3.4,8.0,3.9411764705882355,1.7352941176470589
2.4,0.4,2.2,0.0,0.0,0.0,1,15,26,2.0,8.6,2.0,1.2,1.6,1.7,0.3
10.0,2.8,4.2,13.0,5.0,7.0,1,15,26,2.0,4.4,1.6,1.0,12.434782608695652,4.1521739130434785,2.9130434782608696
8.6,1.0,2.4,10.0,2.0,3.0,1,12,13,3.0,10.0,5.6,2.0,10.2,2.42,1.12
5.6,0.0,2.8,2.0,0.0,0.0,1,3,24,2.0,4.6,7.6,2.2,5.96,2.84,0.44
18.2,4.0,4.8,23.0,0.0,7.0,1,21,7,2.0,4.8,4.6,0.6,9.083333333333334,2.875,2.7708333333333335
4.4,0.6,5.0,6.0,1.0,2.0,1,7,21,2.0,8.6,3.0,2.6,3.5675675675675675,4.54054054054054,0.8108108108108109
7.0,2.0,3.2,7.0,1.0,2.0,1,24,3,1.0,8.6,3.6,2.2,3.953488372093023,2.13953488372093,0.8604651162790697
5.4,1.4,5.2,5.0,2.0,3.0,1,21,7,2.0,23.2,6.6,3.8,8.53061224489796,3.9591836734693877,1.7142857142857142
2.8,0.6,3.2,8.0,3.0,8.0,1,13,12,17.0,10.4,4.0,2.4,2.107142857142857,2.142857142857143,0.42857142857142855
23.0,8.8,4.4,26.0,9.0,3.0,1,25,29,3.0,10.2,5.0,1.8,18.093023255813954,3.7906976744186047,5.744186046511628
13.4,1.2,1.8,7.0,1.0,2.0,1,20,2,2.0,11.8,3.4,5.2,9.787234042553191,2.5319148936170213,1.3829787234042554
1.0,0.8,0.4,0.0,1.0,0.0,1,15,26,8.0,9.8,2.0,2.4,0.75,0.375,0.5
